,Review
466,"I'll leave all the glossy remarks to the paid critics.

I simply want to say that seldom have I been so riveted by a performance as I was last night.

I'm primarily a comic Fan, long term too. Most adaptions are less than rubbish. This is excellent. Phoenix is Oscar worthy and the production is terrific.

Being set in the past removes the over abundance of tech and gadgets which suits the character and the myth. It also allows the actors and the words to shine.

The photography, the music (wow) and the supporting cast was flawless.

So pleased it's still possible to make a movie like this."
468,"Funny guy Todd Phillips of Hangover fame gives up comedy because of the ""woke"" culture and creates a masterpiece in the process. The movie works perfectly even w/o any knowledge of the Batman universe. Joachim Phoenix should have his Oscar guaranteed."
469,"Phoenix should rightly get an oscar nomination for his portrayal of the joker.

This film did not have enough 'story' from the fictional world of the joker and batman and villainy in Gotham city.

Instead it focused on a disturbingly realistic and harrowing portrayal of mental illness.

In films we like are badies to be bad, and be evil, and to be fictional. We go to the movies to escape real life.

Instead Phoenix's vivid portrayal of mental illness and the films focusing so heavily on it. Made it too disturbing and horrifically life like to be enjoyable.

Phoenix has showed his amazing talent as an actor the films mistake was in exposing the audience too much too it."
470,"Shoddily written, sloppily directed, this movie steals from both Taxi Driver & King of Comedy but dishonors both. It seems we live in an era that glorifies & wallows in self-pity & boy does this movie nurture that."
471,"Joker (2019)

9.5/10🤡🎭💄

""Dark, violent and so full of truth, Joker takes a new approach on the backstory trope, creating a very grand accomplishment of a film that will go down as one of the greats of all time.""

The societal factors that surround us are what shape the everyday lives of any man or woman that walks the ground of the earth. Joker just so happens to be glorius yet horrifyingly realistic depiticion of the various ""what ifs"" in our dysfunctional world. Granted, this film is a origin story of one of the most beloved antagonists in cinema and comic book history, however, the film also holds a very vital meaning in its delivery. With the help of a Joaquin Phoenix career defining performance, we are able to see the slow dip into insanity of the average man who'd be the least expected to morph into a monstrous villain by the hand of society, caused by neglection. Todd Phillips is a damn genius, and again proves to us that a comedic mind can also hold the most grim ideas. He most certainly proves this by delivering the fun additives, which would be the clever use of violence that is more artsy than controversial (people exaggerate so much it sickens me), a discomforting atmosphere that leaves you feeling the anxiety you never knew you could feel; like watching Taxi Driver times 5, and an ending that you never knew a third act could pull off so masterfully, it becomes more unforgettable than one could imagine. Joker has easily, and most effortlessly, claimed the throne of Movie of the Year.

Verdict: Joker is the masterpiece we all knew it would be. Even if the Clown Prince of Crime isn't your cup of tea, I suggest watching this movie anyways because it's not just a movie, it's a reality."
472,"All I loved about this movie was because of Joaquin. He did an amazing work, he collaborated to the ambience. This movie reflects a very sympathetic Joker wherw put you as a viewer between the debate of feeling bad for him or not, the cruel and dark scenes are very entertaining and kept me with my mouth wide open the entire film. I liked it a lot."
473,"Joker is a phenomenal symphony of film leading up to a breathtaking crescendo.

Joaquin Phoenix absolutely outdoes himself. I didn't see him in ""Her"" or ""The Master"", but knew he was special after ""Gladiator"" and ""Walk The Line"" - and his 2010 year-long performance-art piece ""I'm Still Here"" cemented him as a modern acting great. He was just as spellbinding with this interpretation of the most famous comic book villain of all time. Arguably his best work to date.

But an actor can't be great without great material. And what (surprisingly) Todd Phillips has done with Joker is nothing short of genius. Not only has Phillips achieved what so few comedy film-makers do by crossing over into the provocative dramatic genre, he has produced a true masterpiece of movie material.

Not for the faint hearted. It is disturbing at times. A result Phillips and his team set out to achieve, citing that violence has become too socially accepted in our media. We shrug it off and accept it as part of our entertainment, but with Joker he has made what violence is: Disturbing. Deeply uncomfortable. Painful. He makes the audience feel. An outcome very few mainstream film-makers achieve these days.

The film is aptly titled. It is about absolutely no-one else other than its subject. Every character is simply crafted to present the film's focus: Joker. A deeply injured member of society who succumbs to his pain.

Masterful film-making in a world drowning in a sea of meaningless media. Todd Phillips selected the best of the best to paint his picture. The strangely haunting score (which fit perfectly into Phillips' world), the perfectly presented cinematography, the costume and set design, the acting, the editing (sound and film!), all masterfully mixed into one of the pieces of the year.

While it's unlikely Joker will walk away with Best Picture, don't be surprised if it gets a nomination. Plus a host of other category noms.

It's not for everyone. But for this sociological ponderer, it was almost perfect."
474,The plot could've been a little more defined BUT Joaquin is phenomenal. Flawlessly done. He deserves every award possible for his performance.
475,"Phenomenal performance I love the DC Comics and this movie is dark and gritty even disturbing at times this movie had me glued to the screen it's that good I didn't want it to end I cant wait for the follow up and apparently the Batman will be introduced and if its has dark has the Joker it will be amazing.

10 stars"
476,"DC does it again! Great movie! Good acting, cinematography, plot, etc. All around awesome!"
477,"Joker did not provide all the glitz, excitement and action that most superhero/Marvel/DC films tend to have, what it did have is the backstory on the Joker. The intro to his meeting Batman as a child, laying groundwork for the future of the two. I appreciate a film that can cause the viewer to have empathy for the villain and this one did just that. Phenomenal acting by Joaquin Pheonix. He was cast perfectly as he puts his all into all of his work and superbly played the Joker. All in all a well enjoyed film that leaves me looking for the next."
478,"There is not one single meaningless or bad scene in this whole movie. The full way through you are gripping the edge of you're chair. The writing, directing and acting all combine to give this spectacular movie. It shows how mistreating someone, even just slightly, can really send them over the edge and into complete insanity. Joaquins performance really sells the characters delusion and can be really frightening at points. I also love how the film doesn't hold back on how violent and dark it can be, it breaks the guidelines and limits of what films should be. A complete redoing of the joker, making his laughing a physical disability is such a strong idea that is portrayed so incredibly well. I love how Batman's origin was also tied in to the movie, it works so well and gives an interesting reaction to any superhero fan. I recommend this to anyone who enjoys movies even slightly. 10/10 beware if you are sensitive :)"
479,I couldn't find a negative thing about this movie. It's bold and brilliant. Joaquin Phoenix gives one of the best performances I have ever seen. You have to go and see this. The only reason it has negative reviews is because some people were expecting another superhero movie with action - thank god it's not.
480,"SYNOPSIS: Arthur Fleck (Joaquin Phoenix) suffers from Pseudobulbar Affect (condition that causes you to laugh uncontrollably) and is seen as an outcast of society. He's trying to make it as a stand-up comedian, but after one violent incident he becomes a psychopathic murderer.

REVIEW: This is a very dark film that really works in so many ways. I didn't connect all the way with the film, however. At times the film very much drags and I actually liked it a little less on a second viewing. POSITIVES: The directing and cinematography in this film were next level. So many stellar shots and Todd Phillips really captures the essence of Gotham and how that world is. The color palette of the film gives real emotion to the atmosphere. Starting as a warmer and blurred vision while Arthur was an innocent man trying his best to move along And then the transition to a colder blue and clarity when he starts to turn and stay off his meds indicating a misguided idea of clarity while off of his medication. I loved the divide in classes in this film showing how those in poverty are seen as more chaotic and less important. This commentary is so true when you consider how we glorify entertainers in a near toxic way. The way that the writing really has you trying to figure out what's real and what's not is so smart and clever. It adds so much to the film and show what Phillips has the potential to do. JOAQUIN PHOENIX: Yea, so this performance also deserves its own category. I'm not sure if it was Todd Phillips or Joaquin Phoenix that decided to give Arthur the condition, but that was a tier-1 decision. I can't imagine another actor being able to do what Phoenix did in this film. This performance is one that will be shown in acting classes for years to come. NEGATIVES: the biggest thing with this film is that it can drag. A lot of shots that the film sits on for a little too long. I understand it the build up to see the full 180 from Joker, but it didn't add much for me. Maybe this isn't a very credible observation, because this is one of those films that feels a bit long for me, but there not a single scene I'd take out. Similarly with Avengers: Endgame (although I liked Endgame much more). I felt this way after my first viewing and so I wanted to give it a second shot and I felt the same way on round 2. Even more so. CONCLUSION: This film is definitely a technically well made film with very good directing, editing, acting, cinematography, score, etc.. There a few memorable scenes in this film that people will re-watch over and over. I wish I could end it on that, but this film, although barely edging out 2 hours, I felt it went on a little long. I did like the transformation and not enough can be said about Todd Phillips and Joaquin Phoenix on this one. 7.2/10."
481,"I do agree that Joaquin's performance was great, very well done and not an easy part to pull off. That however, was the only good part of the film. Movie was dark as I expected, but so much SLOW dialog it was putting me to sleep. Parts of the movie were VERY predictable, though a couple (literally two) of surprises that were good but didn't out weigh a very slow moving poorly laid out story. I say skip this one and wait for it to hit the other subscription services, I'd ask for my money back but I did stay till the end."
482,"I am typically a fan of what Marvel has done, and initially saw no point to this movie when it was announced and couldn't see Phoenix doing the role justice, particularly after Heath Ledger's brilliant take on the Joker. How wrong was I? This movie starts slowly, and draws you into Arthur's world without you realising it until you can't look away from the screen for fear of missing a single second of it. It is raw, it is personal, it is disturbing, it is sad, and it is deeply resonant of some of the troubles we are experiencing today in the world. This is the Joker, arch-nemesis of Batman, yet you feel empathy for him, and can't completely disagree with his actions. He only hurts those who he perceives hurt him, even if his justice is fatal and doesn't befit the crime. ""Wrong me, and you are dead,"" is not justice, and each of his victims display their own weaknesses and frailties, and aren't inherently bad people. This is a brilliant movie. One of the few I went back to the cinema to watch again. It deserves Oscar recognition for Phoenix, Todd Phillips, cinematography, and the score. Congratulations all round!"
483,"First of all. It's such a well constructed world. Closer to reality than any other Gotham I've seen but just skewed enough to be different.

It's harsh and brutal but also lays society/humanity bare.

I'm not a Batman movie fan in general and I felt this was something different. Definitely worth a watch!"
484,"Todd Philips' ""Joker"" has spread so many comments and controversy that I don't know exactly where to stand. The film reminded critics of Martin Scorsese's ""Taxi Driver"" and while Joaquin Phoenix' performance channeled the inner angst and alienation that drove the driver Bickle to an extreme -and bloody- corner, I found so many other sources of inspiration that if anything, ""Joker"" is the best tribute to the New Hollywood period.

I found ""Network"" in the film, ""Death Wish"", references to ""The King of Comedy"", Marty's underrated movie about a man who wished to exist through the only talent he felt being endowed with... and naturally, there's something of ""A Clockwork Orange"" in the obscene stylishness the Joker embraces his new persona with. In a way, that the film met with controversy is logical, you can't make a social comment about violence and its dangerous appeal by sugarcoating it, violence like its enemies, use symbols and slogan, in fact, revolt is a mask that violence uses to operate undercover or is it the opposite? ""Joker"" is the slap today's audiences needed and that it used the Joker mask in our superhero era makes it even more relevant and accessible. But truth be said, any controversy the film should stir mustn't distract from the real deal.

Indeed, any viewer familiar with one tenth of Phoenix' filmography knows the actor's ability to portray enigmatic and troubled characters with a dark side barely hidden, but even with that in mind it's impossible not to be blown away by his performance and compelled by his suffering. He shouldn't be the dark horse of the awards season but the frontrunner because his performance is so rich, so powerful, so intense and so bizarre and grotesque in a captivating way that it's almost like watching a movie within a movie, as if his distortable face was the operation theatre to his acting force, as if his nervous smile slowly turning into cries made a true symphony of pathos and anger. That actor is a treasure to Hollywood and here he's given the kind of rangy performances that can't do without earning awards. His snubbing would be controversy material if you asked me.

Now, to the film. The first act immerses us in the life of Arthur Fleck, a clown and wannabe stand-up comedian. At first, I was afraid that the manic laughter scenes would be too redundant and turn themselves to cheap gimmicks, to remind us that we're dealing with the Joker, but no, Phoenix plays his Arthur as a man who's not a bad person. Raised by an over-protective and sickly mother, brutalized by kids who sees in a clown a living sign saying ""kick me"", humiliated by people who can't understand his medical condition, the point isn't to portray Joker as a martyr but a product of a specific environment and education, or lack thereof. Like anyone, he's got dreams, projects, but he's entrapped in a condition that makes it impossible to communicate or connect with the others except through hallucinations and would-happen moments, he's a misfit with a fragile condition that keeps worsening until it offers a platform for his dark psyche to perform.

Does the film excuse him? No. Does it justify his actions? Hell, no. It just clarifies the need to perform that way. There's a point of no return reached in that psychological journey, when one humiliation too many triggers a strong desire to express itself through a sort of showmanship, something relevant in our days where people seek any ways to reach posterity. Set in what seems to be the early 80s, it puts Arthur in the same urban alienation context than Travis Bickle but with a passion shared with Rupert Pumpkin's and a ""mad-as-hell"" prophetic rage with Howard Beale's role. Near the end, there's a shot that follows one of the film's most shocking moment and it's an obvious nod to the anticlimactic finale of Lumet's masterpiece.

But I can't insist too much on how good Phoenix his, one could see a few impersonations of Malcolm McDowell's dance when he ""punished"" his fellow droogs or get vibes from the two only performances that earned a posthumous Oscar, Peter Finch and Heath Ledger, still, there's something unique in that tormented role he inhabits with such a soul dedication that it makes Nicholon's Joker worse than the cartoon counterpart. ,

""Joker"" isn't dangerous but brave enough to question violence in the way it seems like the only plausible answer, it might titillate a few demagogue instincts but that's an unfair trial in the light of the recent events all over the world and that preceded the film. I walk often at night and see homeless people living in impoverished conditions, drowning their sorrows in alcohol and losing their manners once there's nothing to lose... and perhaps that's leaders' responsibility, praising democratic values while its application contradicts its own ideal. Anything is allowed when nothing is possible, is perhaps the biggest joke of all, and that it goes all downhill when the social budget is cut is perhaps the film's boldest stance against the shift between leaders and people.

And that it used Bruce's father Thomas Wayne to connect the final act with a canon we're all familiar with is one of the many narrative delights of that character study and psychological thriller à la ""Woman Under the Influence"" where suspense doesn't come from a bomb but a ticking bomb of a soul. If De Niro's presence ties the plot with its chief inspirations, the film belongs to Joaquin Phoenix who gave a performance for ages, and a character who's relevant in the way he pits democratic ideals against urban reality. And my wish is to see another connection with De Niro with Phoenix winning an Oscar, it would be the second time for a character who already won one after De Niro with ""The Godfather Part II"".

As for the glorifying violence trial... we've been there already."
485,This movie is absolutely amazing. Joaquin Phoenix did one of the greatest performances in the cinema's history.
486,"The music. The intense. The realism. The performance. The story. Such a perfect combination of everything. I never felt that a character like joker could be real until I saw this. Phoenix shows us what a joker is in our society and shows us how power can be obtained. Philips on the other hand had the perfect choice of music, camera angles, lighting and every important factor. Overall, I did not expect the story to be this perfect. Too many shocking turns happened and it really does represent today's society. If I was in the first screening, I would have applauded for 80 min not 8."
487,Philosphical approach and giving a viewer an insight how an innocent and troublesome mind can go mad. You feel the pain and anger in the justifications of actions performed in this masterpiece. Giving a morally complex and paradoxical taste of the jokers mind.
488,"A frustrated but relatively harmless guy gets pushed over a little too much and goes on a sick rampage. This is a story I've seen several times, the first one I remember being Falling Down, that 1993 movie with Michael Douglas. There were definitely some more, I just can't recall them, because the plot of such films always goes through the same steps, you just can't tell the stories apart.

I've heard so much praise for Joker, I expected something groundbreaking. Instead what we have here is one stellar individual performance in front of an otherwise dull and intentionally grisly landscape. An unsettled city full of unsolved social issues, cynical politicians saying things as if to fire up the situation on purpose. Violent kids on the street, white-collar jerks, everything around created specifically to depress the viewer.

Sometimes it does feel as if DC simply doesn't want its fans to have a single bright thought or a light emotion. It's a universe full of sad and uptight characters delivering to an army of equally sad people. At least before it was about one emotionally scarred individual putting on a mask and putting on a tour de force against the ""bad guys"". It was dark, but the action tried to make up for it. This time, however, there's almost no action - and you are just taken on a journey of the main character to join him in wallowing in all his personal darkness and drama.

Joaquin Phoenix is no doubt exceptional here, his performance is worth all the accolade it received. Besides that, though, Joker is simply too one-dimensional to be touching. When you paint everything black too many times, all the next layers of paint just don't make any difference, and even a clown's garish garb can't bring in enough color to make up for it. Joker is a beautifully messed up character, but he's nowhere close to Tonya Harding, another fantastic performance that was not given half the credit it deserves. Joker's craziness is predefined by his grotesquely gloomy surroundings, while Tonya's fate was a real life story of this very world. Makes one guess whether we can really sympathize with issues we classify as our own.

Despite a truly fiery (in all senses) ending, Joker the movie fails to ignite a spark of prolonged interest. If not for the crazy praise this film has received, one might not even feel pressed to share their thoughts on this film with others, turning the watch into a cinematographic one-night stand. Tomorrow, I will probably not be ashamed of what I did tonight. But is this experience simply forgettable without a hint of a lasting trace? Totally so. If people will be thinking about 2019, Baby Yoda is what they'll probably recall first, and that speaks volumes about this film's quality."
489,"Joker is a unique, raw and special movie. It is a violent story that shows us the slow descent into madness of our protagonist, Arthur. The movie was incredibly hyped to what runs the year, however, unlike what usually happens with many movies that cause such excitement, this achievement exceed any expectation. This is a movie that definitely deserves any possible ovation to her. An incredible job. It seems fantastic to me to know that the director was able to carry out a work of such quality that it will simply become a milestone in the years to come; it is a unique story, without censorship which shows us the development of a protagonist in such a fluid, effective and fascinating way that we can come to sympathize with such madness, a violent madness, raw and emotional. These words can describe the essence of this film, capable of transmitting ideas and sensations of extreme power and power that nothing can equal.

Much has been said about Joaquin's performance, and here I come to repeat the same thing, because he simply deserves it: It's incredible, it's perfect. This is the Joker that is capable of existing in this world, a performance as strong as human, a cruel and realistic touch gives enough support for us to understand the motivations of the character, who is not only a villain with a goal, or an idea, it is the explosion caused by the spark of madness. The acting is just sublime, and I'll say it at once; it's time for his Oscar.

Incredible, fantastically dark, every minute of this film is a work of pure passion, effort and attention to detail, you can more than notice the incredible work that has been put into it. Everything is simply fascinating, the direction, the incredible script, the beautiful cinematography, the masterful performance, the deep soundtrack, the emotional scenes, the fluid development, and so on.

Joker is a masterpiece. Psychological, powerful, crazy."
490,"Each generation becomes more imbecile.

In my boy's time, we enjoyed the superheroes and their masculinity.

Then the empotrated super-heroines appeared; Then the effeminate superheroes; And finally, they are enjoying the villains.

In the sequence, what will be the next imbecility?"
491,"Don't listen to the unbelievably high average score, this is not a great movie. It leans on cliches, it struggles to communicate vital character details, but it manages to pull together a strong closing act to elevate an otherwise inconsistent film.

'Joker' stumbles out of the gate by throwing a plethora of ""troubled loner"" cliches at us. The scenes read almost as a list, giving the early stages of the film a disjointed feel that hampers any sense of immersion. The only aspect of our lead, Arthur Fleck, that seems original is his affliction. His sudden outbursts of laughter during tense situations are used to great effect several times throughout the first act.

As the story continues, 'Joker' wastes time on a sub-par subplot involving Arthur's neighbor. Another sub-plot, involving Thomas Wayne, is far more interesting and clever in its execution.

Ultimately, 'Joker' becomes a story of Arthur breaking free and flourishing in the chaos of Gotham. The final act revels in his now unrestrained insanity. However, the film struggles to convey a clear image of what exactly is happening within Arthur. Is he an idiot savant, or a brilliant mastermind set free of his bonds. You can go back through the film if you wish and identify plot points to either effect if you wish (the latter seems more likely in retrospect). However, this failure of communication lessens the impact of the film, leaving you somewhat disappointed.

Nevertheless, the final act is an exciting close to the film, though it probably should have ended about 5 minutes earlier than it did (the final scene is unneeded). Regardless, the result is a unique and fascinating comic book movie held back from greatness by a shaky start and questionable communication."
493,Explains a lot and the story line moves at a good pace.
494,"We watched Joker tonight, and I expected good acting from Joaquin Phoenix, wasn't sure about the story and everything else but I was willing to see how it will go. What I didn't expect was that I wouldn't blink an eye throughout the movie. It was absolutely brilliant. Joaquin Phoenix didn't just give us good performance, but made Joker so real. Like he is one of us, and as my friend said - scary part was that you could relate to him and be on the same track with his thoughts. Everything is perfect in this movie - story, acting, photography, music... hell even the colors of this world are perfect. Joaquin Phoenix carried the whole storry on his back - it was an one man show that took all your attention, imagination, stirred all your feelings and emotions and left you speechless when The End letters came on the screen. The best movie this year for sure - Phoenix deserves Oscar for this one and any other reward he can get in this world. BRILLIANT!!!!"
495,"Nice movie, such a great performance from Joaquin deserve the Oscar with no doubt, Great cinematography, great music, the movie take comics cinema to another level."
496,"I am not a fan of the dd batman universe, I am never interested, but they recommended the movie and I do not regret those 122 minutes I spent watching this magnificent piece of art. The direction, photography and lighting is brutal and accompanies the progress and development of the plot and the character. Phoenix played the joker spectacularly and magnificently, I loved his performance and I found the best selection. The development of the joker and his thankfulness is incredible, his important moments were well managed and he loved everything about him. Frances conroy great as always. If you did not see it, watch it, even if you are not a fan or have not seen other movies, just watch it, because it is not essential. One of the best movies of the year"
497,Heath ledger would be so proud! It was amazing! Blew my mind ! I will watch it again and again ! After a long time finally a good movie ! Enjoyed every second with every cell of my body !
498,"The film is about tragedy and a work of art that should be taken seriously, no CGI cape crusader, no magic just pure emotions . It's like the rise of the Joker and the birth of the Bat. The laughter makes you cry and youre wating for that villain you love to hate but end up loving him more.... I wish there is more.. i wish to see this joker in the DCU."
499,"A well-made film by Todd Philips and Co. with a commanding and tragic performance by Joaquin Phoenix. The film gives us easy commentary on aspects of reality through the differences of social classes and the grasp on understanding mental illnesses. The main character, Joker, is the catalyst for the story and to tie it all together we get a very original take on the beginning of the comic-world's most notorious villain.

IMO, Joaquin's best performance will always be Freddie Quell in The Master, but this is very good. It appears he may be on his way to getting his first Oscar."
500,"Despite the memes, this movie is tense and unsettling all the way through. If you like dark comedy and a good thriller, this movie is for you."
501,"This is not sarcasm. Joker is a mainstream, wide-release movie which manages to not conform to cookie-cutter writing and directing, tries and often successfully conveys a meaningful message, and it definitely deserves some praise, 1 or 2 repeat viewings. And most of the jokes were hilarious.

Joker is a good character study, but it has a bunch of problems. One can see lots of reviews praising it as the best movie of the year/all time, that Phillips is a great director, and that Phoenix is just perfect. The story is a bit muddled. It could have done without the Wayne family's inclusion, with just their names and importance to the plot. The story is good, but it tries hard to be smart and hits you over the head with reveals instead of being subtle and clever with its setups.

However, Phoenix' performance elevates the movie. His and Frances Conroy's are great. He is always mesmerizing to watch in anything he is in, but this was very visceral. It's hard to empathize with his character most of the time, but we become aware of the political messages of the movie, which is pretty hard to miss and very spot on.

This movie is very similar to Taxi Driver, but not as well written. It's well directed and the actors do a good job. It is far from the best movie of the year, since Parasite came out in 2019 as well, but Phoenix performance is what most will remember. I hope all following DC movies will be a lot more ""real"" like Joker, with better writing and smaller budgets, no CGI, just character studies of crazy villains in a real world."
502,"Disturbing. Just got out of the movie. My humor was much better before seeing it. At first feel pity for the guy suffering, but he lacks charm and then well he is just a killer. Heath Ledger was far better."
503,"One of the best movies and acting. Movie was so good that i feel myself inside of it. People must watch it that haven't watch it yet. There are many people are like this character in real life. So, we should respect every single person in our really life, that's the lesson that this movie tough us. One of the best movies and acting. Movie was so good that i feel myself inside of it. People must watch it that haven't watch it yet. There are many people are like this character in real life. So, we should respect every single person in our really life, that's the lesson that this movie tough us. Thanks."
504,"He is an absolute legend in this film. He deserves all the praise in the world for this chilling performance. The movie itself is not only just a great comic book but a great movie in general. This is a movie that is going to change comic book films for the next 10 years. And I stand by that statement

Final rating: 9.2/10"
505,"This Movie Really Did gave me a surprise, its more than a spin off or a stand alone, its also a breathtaking exprienced. But i would not say this movie is rewatchable, despite its phenomenal performances the story is quite slow and some times you need patient watching this movie, so i will say this movie is a once in a lifetime expriences."
507,"Oh my, after walking out of the theater, this is hands down, The most memorable film I've ever seen in my life, I loved it, I thought it was excellent. I recommend any Marvel fans or DC fans to see it if you haven't"
508,"I've never seen a movie (with the possible exception of The Force Awakens and The Incredibles 2) to be as hyped as this with both good and bad things emanating from that. Ever since the first trailer came out in April, I've been waiting to see it. I knew that this wouldn't be like any other comic book movie I'd seen up to that point (I've yet to see Logan and Watchmen). And indeed, from the trailers it looked like Taxi Driver and The King of Comedy, both of which also star Robert De Niro. Even still, Joker perfectly encapsulates everything about the character. The Clown Prince of Crime, the Jester of Genocide, the Harlequin of Hate. The movie gives a believable and more than fitting backstory for the Joker. If not than you could look at it as the story of Arthur Fleck (Joaquin Phoenix) just an unfortunate and deluded man with aspirations of being a comedian who endured one too many kicks in the teeth. It is a comic book movie but more dark and gritty than any I've ever seen, including The Dark Knight. I often don't like the way that DC assumes that since the Dark Knight trilogy the only path to success is by way of the dark route, without actually taking the time to do it right. Joker does it right. And with an R rating it's not for kids."
509,"Look, I know I'm swimming against the tide, but I seriously remain extremely disappointed. I couldn't pick a score for the movie. But I mark aspects of the movie as follows; Entertainment factor: 0 stars. Relentless, deep, dark and disturbing theme: 0 stars. Single redeeming feature: well-played by the entire cast, but Joaquin Phoenix's superb acting surpassed excellence: 11 stars."
510,"Lets start with the obvious, any scores of 1 or 10 are to be ignored as they tend to be comic book nerd scores (1 means Marvel fan, 10 means DC fan).

This movie really has me mixed on what to think about it. I understand they wanted to make a movie about what makes someone turns into a villian, so they decided later having it be about Joker would make people actually want to see it. Which is why I give it such a low score. If you needed Joker in it in order to get people to see it, then maybe it wasn't a good movie then.

I love Joker (the character). I've loved every iteration of him. And I can see why they chose him because he does fit the part for what they wanted. And while they do state this Joker is its own alternate universe sort of Joker, it still feels off. It feels more like a movie about a unstable man, but with some Batman lore stuff hinted throughout just to make it more appealing.

Am I saying the movie is terrible? Not by any means. It was actually pretty good. If anything Phoenix did an amazing job making you care about Arthur yet also feeling creeped out by him. I should also note this movie is in NO way for kids.

If Joker was removed from it and it was just a movie about a man gone bad, I'd give it a 8 or 9 probably. But again, using Joker as the selling point since they said no one wanted to see it otherwise, really made me deduct points."
511,This movie is getting a lot of praise and this film deserves IMO its better than Endgame and The Dark Knight!!!
512,"Is it just me, or is it getting crazier out there? Arthur Fleck

That definitely feels true. Joker is set in the early 80s and is loosely based on the origin of the Joker (DC Comic character and arch rival of Batman). This version is written and directed by Todd Phillips (the director of The Hangover films...yep) and stars Joaquin Phoenix in the title role.

Almost everyone has their opinion of the film and how they feel about it, so take what you can from them, but, this is what I thought of it.

The Joker is a gritty hard hitting study of a man's decline into madness. Arthur Fleck is a lonely troubled man, who between caring for his ill mother and performing for kids as a clown, dreams of being a stand up comedian - his only problem, he isn't very funny.

This sounds familiar and fans of Robert De Niro and Martin Scorsese will recall King of Comedy (1982) and the painful Rupert Pupkin having the same dilemma (incidentally De Niro plays the chat show host Murray Franklin whom Arthur adores). Unfortunately Arthur or 'happy' as his mother calls him is living in a world that just doesn't understand him, again sound familiar? Travis Bickle from Taxi Driver (1976). Clearly these two films have influenced Phillips and he borrows seamlessly from them, but this is not in the same calibre as these, it stands alone.

The central performance from Joaquin Phoenix delivers the punchlines (sorry). His lean skeleton holds the meat of the film (sorry again). He is mesmerising, he portrays sadness, depression, anger, loneliness and happiness brilliantly. It's a masterclass on acting, he lives and breathes the character.

The supporting cast is good, Robert De Niro, Zazie Beetz and Frances Conroy to name, watch out for Glenn Fleshler (Remus from Boardwalk Empire) and Brian Tyree Henry (Paper Boi from Atlanta).

The music is standout, Icelandic Hildur Gudnadottir sets the right tone and style to the film (to be noted she did the music for this and Chernobyl at around the same time). There has been some subject of debate for one music choice and I don't why that particular piece of music was used when others could have been selected, perhaps Phillips was wanting the reaction? (jerk). The cinematography is good and adds grittiness to the screen, the makeup is good too, I like how Phoenix has adopted a different clown paint - slightly reminiscent of Doink the Clown from WWE though).

The film is rated R so be prepared to see violence, however there are probably less deaths in here than in most of the Marvel films, yep, and when it happens you can feel the magnitude of it.

I would still recommend seeing this (unless you have coulrophobia) and making your own mind up on how you feel about it, one thing is for certain you will be talking about it for some time, which is what Phillips probably wanted - 'send in the clowns...they are already here'."
513,"Ugghhh how could I be so wrong in my assessment of Joker when the majority of film goers and film reviewers have rated this abhorrent film an average of 8.6 on IMDB? What have I missed seeing? How can over 600 thousand film goers have liked this film and the film receive 11 Oscar nominations when both Mrs. Shullivan and I just hated it and considered it as much a waste of time as we did with the 1977 acclaimed film Eraserhead?

Joaquin Phoenix being nominated for a best actor Oscar? You have got to be kidding me? Maybe he should have been awarded a medal from Weight Watchers for shedding 52 pounds for his pathetic role as the brooding and mentally disturbed Arthur Fleck aka Joker. But an Oscar nomination?

We chose to next watch the 2019 film Once Upon a Time... in Hollywood which was nominated for ten (10) Oscars this year and it is competing with Joker's eleven (11) nominations. I will be shocked if Joker wins any Oscars and even more shocked and disappointed if Once Upon a Time... in Hollywood does not win against Joker in any of their competing categories.

Let's see if my rating of 3/10 holds true on Oscar night and if Joker gets shut out as I would anticipate it would."
514,Wow just totally mesmerizing played so well by Phoenix his character was truly believable and you see the joker evolve into The Joker. It gives me chills seeing who he actually was as a person it was breathtaking. Such a good movie to watch
515,"I had never heard of Joaquin Phoenix before this movie, but he really delivers a masterful performance. It does a great job of making you relate to the character and sympathize with why he goes off the deep end. It moves sort of slow, it's more of a psychological thriller than an action movie."
